contract_id,case_filed_yr,case_filed_month,jurisdiction,zip,assign_atty,case_type_x,settlement_offer,amount_billed,contract_dup,case_type_y,hours_worked
008605N126   ,2013,8,Utah                ,84606,620,5121.0,35000000.0,260300.0,False,,
 680 6B796270,2012,4,California          ,93637,712,5219.0,0.0,139200.0,False,5219.0,30.0
007D703685   ,2013,11,Nebraska            ,68025,169,5224.0,10000000.0,63600.0,False,,
001C805911   ,2013,7,Illinois            ,60615,620,5121.0,15393000.0,153100.0,False,,
001A15699A   ,2013,5,Nevada              ,89128,620,5121.0,524455000.0,1889400.0,False,,
002498X665   ,2013,3,Wisconsin           ,53593,620,5121.0,133554000.0,643700.0,False,,
005C505223   ,2013,11,Mississippi         ,39209,612,5121.0,155350000.0,2264200.0,False,,
 680 200M5648,2012,8,Nevada              ,89509,651,5119.0,0.0,35200.0,False,5119.0,45.0
 680 2A250366,2012,7,Washington          ,98059,712,5122.0,208000.0,9000.0,False,5122.0,20.0
005503R906   ,2013,8,Colorado            ,80010,100,5121.0,3592000.0,53200.0,False,,
005503R906   ,2013,8,Colorado            ,80010,100,5119.0,0.0,25200.0,True,,
005503R906   ,2013,8,Colorado            ,80010,100,5219.0,0.0,66500.0,True,,
 680 6A96091A,2012,8,California          ,90006,651,5219.0,0.0,21000.0,False,5219.0,333.0
003A028126   ,2013,6,Nevada              ,89103,718,5122.0,0.0,5000.0,False,,
003A028126   ,2013,6,Nevada              ,89103,718,5119.0,0.0,11000.0,True,,
008940H806   ,2013,3,Arizona             ,85017,612,5121.0,0.0,47600.0,False,,
 680 2294X24A,2012,1,Missouri            ,63801,712,5121.0,6753000.0,280700.0,False,5121.0,9.0
 680 7B405168,2012,4,Mississippi         ,39213,93,5219.0,0.0,15600.0,False,5219.0,3856.0
 680 8442C62A,2012,1,Pennsylvania        ,17315,620,5121.0,215893000.0,1895600.0,False,5121.0,3.0
006D488737   ,2013,9,Oklahoma            ,74578,100,5219.0,0.0,50000.0,False,,
007595L19A   ,2013,11,Ohio                ,45150,713,5122.0,1092000.0,34400.0,False,,
009353R952   ,2013,10,Illinois            ,60445,456,5121.0,3277000.0,27400.0,False,,
005D05262A   ,2013,8,Colorado            ,80214,10,5121.0,74880000.0,2350600.0,False,,
004C049910   ,2013,10,Massachusetts       ,1757,676,5223.0,10000000.0,616300.0,False,,
004C049910   ,2013,10,Massachusetts       ,1757,676,5121.0,48865000.0,1819500.0,True,,
 680 7A830337,2012,1,Ohio                ,45226,691,5219.0,0.0,40600.0,False,5219.0,1977.0
 680 1B884987,2012,8,Ohio                ,43229,600,5122.0,105000.0,3400.0,False,5122.0,18.0
 680 1B884987,2012,8,Ohio                ,43229,600,5122.0,105000.0,3400.0,False,5121.0,577.0
 680 1B884987,2012,8,Ohio                ,43229,600,5122.0,105000.0,3400.0,False,5223.0,245.0
 680 1B884987,2012,8,Ohio                ,43229,600,5121.0,153690000.0,3263700.0,True,5122.0,18.0
 680 1B884987,2012,8,Ohio                ,43229,600,5121.0,153690000.0,3263700.0,True,5121.0,577.0
 680 1B884987,2012,8,Ohio                ,43229,600,5121.0,153690000.0,3263700.0,True,5223.0,245.0
 680 1B884987,2012,8,Ohio                ,43229,600,5223.0,150000.0,349500.0,True,5122.0,18.0
 680 1B884987,2012,8,Ohio                ,43229,600,5223.0,150000.0,349500.0,True,5121.0,577.0
 680 1B884987,2012,8,Ohio                ,43229,600,5223.0,150000.0,349500.0,True,5223.0,245.0
005D229490   ,2013,9,Ohio                ,44319,169,5224.0,10000000.0,20100.0,False,,
006044N311   ,2013,6,Texas               ,75201,612,5224.0,10000000.0,25900.0,False,,
