"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","hours_worked"
" 680 1B551370","2013","11","South Carolina      ","29406","945","05122",18
" 680 8A048520","2013","10","Texas               ","75204","571","05122",19
" 680 1732A31A","2012","08","California          ","92571","719","05101",157
" 680 8392N509","2013","07","Kansas              ","66064","718","05122",742
" 680 1A776169","2012","06","Connecticut         ","06790","712","05219",47
" 680 5993L40A","2012","07","New York            ","10022","651","05106",695
" 680 3A594019","2013","07","North Carolina      ","28211","620","05223",450
" 680 5465A438","2012","04","Massachusetts       ","01473","759","05119",147
" 680 3760N402","2012","08","Maryland            ","21217","712","05219",43
" 680 8C701565","2013","04","Arizona             ","85301","620","05224",1881
" 680 6D814732","2013","11","Maryland            ","21201","169","05122",53
" 680 2A066618","2012","08","Oregon              ","97216","091","05219",186
" PACP3403N83A","2012","03","Texas               ","76060","712","05121",3908
" 680 2D83823A","2013","06","Michigan            ","48219","184","05224",503
" 680 197Y0832","2013","04","Colorado            ","80301","189","05122",7
" 680 5675W230","2013","12","Montana             ","59101","454","05121",132
" 680 6D425216","2013","10","New Mexico          ","88231","718","05122",6
" 680 9667C043","2012","02","Alabama             ","36106","600","05223",14
" 680 9D407646","2013","12","South Dakota        ","57108","612","05121",404
" 680 8584M272","2013","01","Arizona             ","85207","612","05121",443
" 680 1007R016","2012","08","California          ","92821","612","05121",8
" 680 0068P225","2013","09","Minnesota           ","55060","612","05122",51
" 680 6870P284","2013","04","Nevada              ","89119","100","05122",81
" 680 6651P39A","2012","08","New Jersey          ","07470","612","05219",2462
" 680 3781X850","2012","04","Mississippi         ","39206","713","05119",35
" 680 1505R091","2013","05","Wyoming             ","82601","636","05119",23
" 680 7C611550","2013","02","Michigan            ","48098","970","05125",114
" 680 7750M096","2013","12","Washington          ","98273","169","05224",5
" 680 85K02544","2012","06","New York            ","10005","651","05119",50
" 680 6648H93A","2013","10","Colorado            ","80909","612","05122",18
" 680 1509T374","2013","11","North Carolina      ","27215","010","05223",369
" 680 7617M550","2013","11","Illinois            ","60527","513","05223",249
" 680 3445P680","2012","08","Massachusetts       ","02171","090","05102",1
" 680 9A576615","2013","12","Tennessee           ","37027","639","05122",44
" 680 478M3651","2013","10","Connecticut         ","06897","913","05223",2748
" 680 4A595801","2012","08","South Dakota        ","57110","742","05119",43
" 680 1B890029","2013","12","Minnesota           ","55401","639","05122",2408
" 680 9480C147","2013","01","Colorado            ","80211","620","05121",186
" 680 1B898088","2012","08","Virginia            ","22313","612","05223",2
" 680 2553X277","2012","03","Colorado            ","80831","712","05219",25
" 680 9201M287","2012","05","Georgia             ","30606","743","05119",5
" 680 4A590866","2012","01","Idaho               ","83687","719","05119",19
" 680 6D52369A","2013","10","Virginia            ","22311","620","05121",61
" 680 5780A715","2012","08","New York            ","14534","091","05119",38
" 680 9A423113","2012","08","Nevada              ","89102","712","05219",599
" 680 6C606401","2013","12","Connecticut         ","06078","459","05223",11385
" 680 1796X74A","2012","08","Maryland            ","20852","712","05122",34
" 680 4C055351","2013","07","New York            ","10018","639","05122",974
" 680 3B498328","2012","04","New Jersey          ","07093","712","05119",25
" 680 3D755119","2013","07","Oklahoma            ","73505","040","05224",2
" 680 8153X883","2012","05","Kentucky            ","41014","712","05122",65
" 680 2088C811","2012","08","New Jersey          ","07980","712","05122",57
" 680 7698P404","2013","04","Michigan            ","48009","523","05121",60
" 680 6282M446","2012","08","Tennessee           ","38103","651","05219",11
" 680 8B460561","2013","05","Connecticut         ","06704","042","05224",1558
" 680 7488P695","2012","04","California          ","92103","651","05102",566
" 680 2D402445","2013","05","Massachusetts       ","02169","984","05223",902
" 680 2A383218","2012","07","New Jersey          ","07840","712","05119",25
" 680 4A905371","2013","08","New York            ","10474","503","05105",119
" 680 6C76959A","2013","03","Massachusetts       ","02780","620","05121",39
" 680 1136P605","2012","08","California          ","90606","612","05121",8894
" 680 2592X205","2012","01","Massachusetts       ","02144","712","05119",6520
" 680 166M774A","2013","09","Colorado            ","80915","164","05224",9
" 680 7983R874","2013","11","Alabama             ","35801","612","05121",5
" 680 8146N870","2012","08","Massachusetts       ","01835","090","05219",2
" 680 6071P591","2013","03","Illinois            ","60637","620","05121",272
" 680 7264P269","2013","03","Indiana             ","47250","169","05122",85
" 680 0C167321","2012","05","New Jersey          ","08901","546","05122",50
" 680 7314P984","2012","04","Massachusetts       ","02149","599","05219",80
" 680 7982N063","2013","07","New York            ","11232","569","05223",223
" 680 6D464008","2013","09","Minnesota           ","55115","718","05122",5
" 680 8085R119","2012","08","Pennsylvania        ","19120","968","05223",1336
" 680 0D111204","2013","03","Pennsylvania        ","18014","970","05223",260
" 680 3D163593","2013","08","Tennessee           ","37174","169","05122",133
" 680 0D869295","2013","06","New York            ","11782","922","05223",35718
" 680 3984W645","2013","06","Indiana             ","46204","620","05121",11
" 680 6621N419","2012","08","California          ","92021","712","05219",24
" 680 6322L312","2012","08","Washington          ","98104","926","05119",84
" 680 4C303062","2013","05","Massachusetts       ","01007","100","05223",148
" 680 9773B864","2013","10","Massachusetts       ","01821","970","05223",160
" 680 6A967922","2013","10","Minnesota           ","55042","612","05223",1
" 680 8A995129","2013","01","Colorado            ","80301","915","05122",35
" 680 5B142319","2012","03","Connecticut         ","06518","651","05219",34
" PACP3666M424","2012","06","Texas               ","78234","712","05122",4
" 680 7006M413","2013","03","Ohio                ","44039","612","05121",73
" 680 8D059084","2013","12","Mississippi         ","39047","970","05223",107794
" 680 2445X125","2012","08","California          ","91776","712","05122",1003
" 680 0C081285","2012","06","California          ","94123","712","05119",17
" 680 8099M52A","2013","10","Pennsylvania        ","19133","665","05224",1981
" 680 0904M369","2013","03","Colorado            ","81611","620","05121",20
" 680 8C332036","2013","04","Utah                ","84088","620","05121",19
" 680 2D772456","2013","05","Georgia             ","30318","169","05224",3
" 680 6B777255","2013","03","North Carolina      ","27292","169","05131",39
" 680 5817P506","2012","02","New York            ","13215","090","05219",100
" 680 363M0464","2013","10","Kentucky            ","40422","044","05122",6
" 680 136Y9907","2012","08","New York            ","10310","544","05119",1801
" 680 0C10719A","2013","06","North Carolina      ","28277","620","05121",201
" 680 5A569227","2013","11","Virginia            ","24201","169","05122",166
" 680 8233R993","2013","08","Illinois            ","60502","612","05119",5
" PACP2B395237","2012","01","Texas               ","75050","049","05132",180
" 680 406H2577","2013","08","New York            ","11501","636","05224",25344
" 680 7430N047","2013","08","Connecticut         ","06037","100","05121",272
" 680 9162H02A","2012","08","New York            ","10028","651","05119",215
" 680 2A936769","2013","06","Massachusetts       ","02360","542","05145",35
" 680 6372X838","2012","05","North Carolina      ","27360","712","05219",499
" 680 6D796710","2013","10","Georgia             ","30135","169","05224",641
" 680 3D267554","2013","06","Nebraska            ","68002","100","05121",1075
" 680 2168P441","2012","08","Maryland            ","21075","592","05102",108
" 680 6341C18A","2013","05","Connecticut         ","06851","612","05121",98
" 680 3029C648","2012","08","Connecticut         ","06457","940","05119",17
" 680 3431N803","2013","04","Illinois            ","60603","639","05122",209
" 680 8709M405","2012","08","California          ","93427","573","05119",14
" 680 7956R153","2012","08","Oregon              ","97070","456","05106",75
" 680 8948M674","2012","08","Missouri            ","63109","712","05122",292
" PACP6002X968","2012","08","Texas               ","76015","562","05233",132
" 680 4A654043","2013","08","South Carolina      ","29205","010","05121",66
" 680 4B33074A","2012","08","Oregon              ","97233","712","05121",34
" 680 8415R660","2012","08","New Jersey          ","08518","612","05121",32
" 680 4375B074","2013","08","Indiana             ","46032","612","05121",254
" 680 7005M883","2013","11","Michigan            ","49684","123","05122",4
" 680 4A706437","2012","07","Maryland            ","20904","712","05119",39
" 680 1A533725","2012","08","California          ","94588","926","05119",77
" 680 5B140363","2013","04","Tennessee           ","37211","134","05122",553
" 680 9B697107","2013","06","New York            ","14305","416","05121",20
" 680 3920T044","2012","08","Florida             ","33021","994","05119",86
" 680 1892X683","2013","12","Montana             ","59101","612","05121",167
" 680 6228P955","2012","02","New Jersey          ","07310","599","05102",70
" 680 6382B56A","2012","02","Pennsylvania        ","17815","546","05106",12
" 680 5406M960","2013","08","Vermont             ","05143","169","05121",230
" 680 2A56379A","2013","08","New Jersey          ","07111","665","05122",69
" 680 6553H141","2013","10","West Virginia       ","25312","612","05121",91
" 680 5945P45A","2012","02","Michigan            ","49001","595","05101",16
" 680 4A403659","2012","07","Indiana             ","46342","743","05122",210
" 680 6B679538","2012","08","Mississippi         ","38637","758","05121",20
" 680 4B924135","2012","08","Virginia            ","22201","620","05121",85
" 680 7432C965","2013","09","Montana             ","59105","612","05121",936
" 680 0C166300","2013","06","Nebraska            ","68154","169","05122",61
" 680 297M6662","2012","08","Indiana             ","46278","651","05101",177
" 680 0D066505","2013","06","Indiana             ","47111","169","05122",11
" 680 6507M756","2013","10","New Mexico          ","88310","135","05122",25
" 680 2799X007","2012","08","Minnesota           ","55391","091","05106",10
" 680 9B711259","2012","06","Georgia             ","30168","713","05102",22
" 680 2A532044","2013","07","Nebraska            ","68803","636","05121",12
" 680 7344X131","2012","04","Illinois            ","60044","712","05119",17
" 680 0E404205","2012","08","California          ","92029","712","05219",63
" 680 642D0718","2013","06","New Mexico          ","87123","665","05121",1
" 680 2A405203","2012","06","New Jersey          ","08879","712","05121",165
" 680 7C416399","2013","01","Alabama             ","35007","620","05121",40
" 680 8207H080","2012","08","Pennsylvania        ","19335","841","05121",30
" 680 1C220564","2012","08","California          ","91042","542","05121",314
" 680 1599X036","2012","08","California          ","93313","712","05219",67
" 680 4D101411","2013","07","Connecticut         ","06790","137","05119",181
" 680 8A54512A","2012","08","California          ","90036","599","05119",51
" 680 8218P619","2012","03","California          ","93703","599","05219",2864
" 680 535M1495","2013","11","Minnesota           ","55409","612","05122",34
" 680 4812N394","2012","05","California          ","90670","712","05219",33
" 680 5774L816","2012","06","Washington          ","98105","712","05122",20
" 680 9B269727","2013","06","New York            ","11590","665","05122",76
" 680 1A707570","2012","05","New York            ","10706","416","05119",25
" 680 7C414775","2013","01","Massachusetts       ","01983","983","05122",60
" 680 4C972964","2013","03","North Carolina      ","28205","100","05219",187
" 680 97K30213","2012","08","New York            ","11004","651","05119",25
" 680 6482M456","2013","08","Pennsylvania        ","15017","984","05223",33
" 680 4A893576","2012","07","New York            ","10549","599","05121",3
" 680 3C324490","2013","09","Nevada              ","89014","111","05122",436
" 680 194C5434","2013","10","Maryland            ","20852","636","05224",116
" 680 6645N405","2012","07","California          ","94598","665","05122",180
" 680 4415X780","2012","03","Virginia            ","24011","661","05122",4
" 680 2078B176","2012","05","Virginia            ","22181","712","05219",25
" 680 0211C43A","2013","07","Maryland            ","20785","010","05121",203
" PACP6A615049","2012","08","Texas               ","79109","090","05121",180
" 680 8A523716","2013","10","North Carolina      ","28086","612","05121",6
" 680 1A734511","2012","05","Missouri            ","64124","093","05219",637
" 680 7C377056","2013","01","Nevada              ","89109","600","05223",10
" 680 1596P935","2012","08","Idaho               ","83605","742","05122",960
" 680 1A06434A","2012","05","New Jersey          ","07513","566","05101",12
" 680 9D69104A","2013","12","Illinois            ","60443","169","05122",104
" 680 7D026172","2013","12","Massachusetts       ","02144","974","05223",7411
" 680 5C875130","2013","06","New Jersey          ","07631","665","05122",43
" 680 782R345A","2013","07","Connecticut         ","06033","665","05122",79
" 680 7162L95A","2012","08","Georgia             ","30260","612","05121",12156
" 680 8473A966","2012","07","Massachusetts       ","02131","543","05219",153
" 680 227M3262","2012","08","California          ","95678","926","05102",39
" 680 3A213774","2012","06","Utah                ","84119","091","05106",133
" 680 6D781315","2013","10","Texas               ","76014","665","05121",50
" 680 6E362731","2012","08","New Mexico          ","87501","090","05102",10
" 680 500M111A","2012","08","Massachusetts       ","01257","749","05223",3283
" 680 4177M927","2012","07","Florida             ","32746","470","05105",335
" 680 1175N149","2013","03","North Carolina      ","28269","100","05121",177
" 680 2335P604","2013","12","Texas               ","75034","970","05121",18
" PACP2768N309","2012","08","Texas               ","78758","041","05122",45
" 680 9405C946","2013","12","Tennessee           ","37172","169","05224",369
" 680 2125C558","2012","08","Florida             ","32216","525","05119",24
" 680 4D773473","2013","08","South Carolina      ","29115","718","05121",5
" 680 6D606899","2013","09","Kentucky            ","40229","169","05122",194
" 680 9B535850","2013","06","Wyoming             ","82001","915","05119",50
" 680 818H776A","2012","08","California          ","93550","091","05119",7
" 680 2626B505","2012","07","New York            ","10018","719","05106",39
" 680 4139N758","2012","04","Massachusetts       ","02052","712","05219",251
" 680 9066M491","2012","08","Missouri            ","63131","712","05122",36
" 680 2B047126","2012","08","Virginia            ","20175","620","05121",973
" 680 7192C596","2012","08","Colorado            ","80110","092","05101",59
" 680 2C865388","2012","08","California          ","95361","712","05219",6
" 680 4D641544","2013","10","Texas               ","77357","100","05232",31
" 680 0452R882","2013","05","Utah                ","84057","612","05121",696
" 680 5379P108","2012","08","Iowa                ","51534","749","05119",78
" 680 0845R014","2012","06","New York            ","11356","599","05122",3088
" 680 1B441709","2013","11","Montana             ","59701","639","05121",36
" 680 8113P27A","2013","03","Utah                ","84059","612","05223",425
" 680 8181L997","2012","02","California          ","92121","926","05219",22
" 680 3B792068","2012","08","California          ","94110","712","05219",39
" 680 4422X838","2013","07","Massachusetts       ","02116","416","05122",13
" 680 2824N096","2012","03","Missouri            ","63461","599","05121",601
" 680 5663N31A","2012","06","California          ","95682","712","05122",81
" 680 2088C811","2012","08","New Jersey          ","07702","712","05122",110
" 680 494H1191","2012","08","Washington          ","98032","596","05122",1
" 680 6C407541","2013","01","Missouri            ","64801","612","05121",35
" 680 3461R964","2012","06","Georgia             ","30032","712","05219",507
" 680 1621P137","2012","04","California          ","90301","092","05102",59
" 680 0892N190","2012","01","North Carolina      ","28803","563","05119",7
" 680 91K1064A","2012","06","New Mexico          ","88220","719","05119",50
" 680 878D0511","2013","08","Idaho               ","83706","169","05122",438
" 680 4734N418","2013","04","Michigan            ","48353","970","05223",788
" 680 8324M044","2013","10","Massachusetts       ","02026","134","05213",106
" 680 7E737764","2012","08","California          ","93230","470","05122",10
" 680 4046R477","2012","08","California          ","91344","620","05121",109
" 680 2B082675","2013","12","Georgia             ","30064","983","05223",339
" 680 3710A545","2013","08","Massachusetts       ","01331","640","05122",10
" 680 0D717540","2013","04","North Carolina      ","28208","100","05223",117
" 680 6868M955","2013","09","Nevada              ","89501","639","05145",135
" 680 4639C749","2013","06","New York            ","10023","542","05145",18
" 680 3A377013","2012","08","Michigan            ","48104","926","05119",13
" 680 1D087314","2013","04","Georgia             ","30360","612","05121",247
" 680 2335P708","2012","08","District of Columbia","20037","092","05119",11
" 680 7D260857","2013","10","New York            ","11010","970","05223",290
" 680 7C506701","2013","01","Nevada              ","89110","123","05122",501
" 680 9A793578","2012","08","New Hampshire       ","03104","090","05219",1
" 680 7D711360","2013","09","Illinois            ","60613","620","05121",36
" 680 9676N172","2012","08","New Jersey          ","07020","712","05219",4
" 680 5371W154","2013","10","Texas               ","77058","665","05122",16
" 680 8C357645","2013","02","South Carolina      ","29142","612","05121",34
" 680 7A167480","2013","09","Texas               ","77081","169","05224",69
" 680 9282R844","2013","09","Georgia             ","30308","112","05224",10
" 680 5579R488","2013","08","Washington          ","98108","416","05119",12
" 680 1F936645","2012","08","Illinois            ","60440","994","05119",86
" 680 1B209668","2013","11","Pennsylvania        ","19124","416","05122",112
" 680 6C124762","2013","01","Indiana             ","46312","182","05121",25
" 680 9460N662","2012","08","Michigan            ","48219","599","05102",18442
" 680 188Y0550","2012","08","New York            ","10309","712","05219",84
" 680 196C3520","2012","08","Massachusetts       ","02190","651","05219",52
" 680 513M8740","2012","08","California          ","93305","712","05219",29
" 680 7B376771","2013","04","North Carolina      ","27105","111","05122",86
" 680 1596P935","2012","08","Idaho               ","83605","742","05121",1352
" 680 8219X409","2013","04","Ohio                ","45202","612","05122",26
" 680 5273L192","2012","08","Minnesota           ","55102","416","05105",25
" 680 2A185017","2012","05","New Mexico          ","87501","597","05119",39
" 680 5479P212","2013","02","Arizona             ","85044","620","05121",56
" 680 9637C364","2012","04","Maryland            ","20910","525","05219",822
" 680 382Y1115","2013","08","Washington          ","98042","454","05224",286
" 680 9D294334","2013","12","New York            ","14618","169","05223",80
" 680 2D616484","2012","08","California          ","90292","620","05121",240
" 680 2B049119","2012","08","Connecticut         ","06437","599","05219",128
" 680 2462N578","2012","03","California          ","91604","691","05219",5440
" 680 231M7447","2013","11","Illinois            ","60618","620","05121",52
" 680 5114X028","2012","08","California          ","94549","595","05119",283
" PACP4379X291","2012","08","Texas               ","78705","612","05121",4630
" 680 97K15941","2012","07","Washington          ","99212","525","05219",1329
" 680 8722H305","2012","08","Illinois            ","60083","651","05219",469
" 680 1A857676","2012","08","Virginia            ","22903","712","05219",28
" 680 2879X23A","2012","08","California          ","95403","651","05219",4605
" 680 4C094561","2012","08","Kentucky            ","41071","600","05121",173
" 680 4199M434","2012","07","Minnesota           ","56721","612","05219",10
" 680 6561R587","2013","11","Texas               ","77056","579","05122",29
" 680 7D667577","2013","11","Michigan            ","49250","169","05224",70
" 680 3000C944","2012","01","Maryland            ","21044","091","05102",109
" 680 9C785926","2013","03","Missouri            ","63118","612","05121",175
" 680 2D667607","2013","06","New York            ","12601","620","05223",297
" 680 818H776A","2012","08","California          ","93550","091","05102",80
" 680 8C702341","2013","03","Oklahoma            ","73446","147","05121",352
" 680 2278C803","2013","11","Louisiana           ","71351","665","05121",113
" 680 8D611334","2013","12","New York            ","11355","100","05223",144
" 680 8C394456","2013","04","Oklahoma            ","73173","718","05121",658
" 680 8C582062","2013","02","Pennsylvania        ","18322","913","05223",996
" PACP1991P763","2012","08","Texas               ","76502","994","05101",98
" 680 2998R179","2012","08","California          ","95219","620","05223",102
" 680 9C488121","2013","03","Connecticut         ","06066","185","05121",29
" 680 34F63949","2012","06","New York            ","10013","651","05102",200
" 680 3B629474","2012","02","California          ","90006","651","05219",7388
" 680 2720W039","2012","08","Delaware            ","19709","599","05106",49
" 680 2A100500","2013","07","New Jersey          ","08097","612","05121",237
" 680 3B764254","2012","02","California          ","94602","712","05219",44
" 680 8750C117","2012","08","Alabama             ","36201","092","05219",1303
" 680 3978X173","2012","03","Pennsylvania        ","19103","612","05223",25
" 680 6D338852","2013","09","New Jersey          ","07009","665","05224",35
" 680 9500N688","2013","10","Texas               ","75901","040","05224",52
" 680 8B521988","2012","08","California          ","90005","620","05223",21
" 680 2A864284","2012","08","Pennsylvania        ","19446","691","05219",1123
" 680 8672N697","2013","08","District of Columbia","20001","169","05224",7
" 680 3413X592","2012","02","Indiana             ","47150","600","05121",395
" 680 7C674690","2013","01","Alabama             ","35476","169","05122",54
" 680 2028A257","2012","08","Florida             ","32216","599","05119",29
" PACP9194N865","2012","01","Texas               ","76825","572","05122",27
" 680 1173M019","2013","03","Connecticut         ","06018","620","05121",43
" 680 7C421489","2012","08","California          ","90247","712","05122",2
" 680 8281M064","2012","08","Indiana             ","46506","651","05219",16
" 680 6037M975","2013","08","Illinois            ","60618","620","05223",5
" PACP7A786033","2012","08","Texas               ","75709","093","05132",43
" 680 9A069814","2012","01","North Carolina      ","28202","091","05102",125
" 680 8062N51A","2013","07","Washington          ","98273","676","05223",28
" 680 270R8617","2013","07","Montana             ","59715","612","05121",17
" 680 1C458331","2012","08","District of Columbia","20006","542","05119",167
" 680 5274N131","2013","06","Nevada              ","89104","676","05121",68
" 680 5D97603A","2013","09","Indiana             ","46901","169","05224",7005
" 680 1D881595","2013","05","Arizona             ","85042","416","05122",108
" 680 5700M097","2012","08","New York            ","10509","600","05121",871
" 680 1A018426","2013","07","Texas               ","77659","416","05122",40
" 680 0C511081","2013","07","Texas               ","78664","996","05121",62
" 680 2575L914","2012","08","Nevada              ","89502","926","05119",288
" 680 8248C705","2013","11","Indiana             ","46142","676","05223",1154
" 680 7377R874","2013","09","Illinois            ","60504","620","05119",500
" 680 8555B68A","2012","06","Massachusetts       ","02668","712","05121",26
" 680 9580N660","2013","09","Oregon              ","97828","612","05121",29
" 680 6414X19A","2013","03","Illinois            ","62707","100","05145",168
" 680 2B277675","2012","01","Pennsylvania        ","19090","092","05119",44
" 680 8982P394","2013","07","Massachusetts       ","02026","913","05122",31
" 680 5988L554","2013","08","New Jersey          ","07050","612","05223",1709
" 680 7680R758","2013","09","New Jersey          ","07060","636","05122",169
" 680 7820P703","2012","08","Pennsylvania        ","19127","712","05219",33
" 680 440M2834","2012","01","Indiana             ","46637","968","05122",98
" 680 4B398179","2012","06","New Jersey          ","08093","691","05202",2579
" 680 6C097792","2013","11","Nevada              ","89108","531","05122",415
" PACP7488X568","2012","08","Texas               ","75050","432","05132",70
" 680 2D173668","2013","06","Alabama             ","35020","169","05122",306
" PACP2B573986","2012","08","Texas               ","75069","712","05233",36
" 680 391P8057","2013","02","Colorado            ","80906","620","05121",71
" 680 417M0569","2012","08","California          ","92021","712","05219",37
" 680 4429L377","2012","07","Arkansas            ","72118","712","05219",51
" 680 3C364174","2013","09","North Carolina      ","27606","620","05121",274
" 680 2409N546","2012","08","New York            ","12302","712","05219",3
" 680 4356R523","2012","07","Georgia             ","30736","612","05219",591
" 680 9A661489","2012","08","Connecticut         ","06109","599","05219",2298
" 680 3D576793","2013","06","Georgia             ","30012","416","05122",23
" 680 2A786161","2013","06","North Carolina      ","28638","010","05121",66
" 680 742D9004","2013","09","Vermont             ","05874","100","05121",2
" 680 4764X482","2012","08","California          ","93726","091","05219",7
" 680 4B117835","2012","02","Idaho               ","83713","968","05223",551
" 680 6B631567","2013","06","Illinois            ","60707","620","05121",35
" 680 4B117835","2012","02","Idaho               ","83713","968","05122",69
" PACP1A395582","2012","05","Texas               ","77067","110","05122",1
" 680 444M0132","2012","01","Oregon              ","97203","620","05121",225
" 680 1807P177","2013","11","Indiana             ","47404","612","05121",250
" 680 3A002485","2013","09","Nevada              ","89119","676","05121",115
" 680 2C593587","2013","08","Illinois            ","60618","612","05121",71
" PACP7915X522","2012","08","Texas               ","79423","091","05106",4
" 680 3445P680","2012","08","Massachusetts       ","02364","090","05102",8
" 680 6C906053","2013","12","Kentucky            ","40356","984","05122",26
" 680 4791L692","2013","10","Washington          ","98671","100","05223",120
" 680 6729X820","2012","04","California          ","92128","416","05119",48
" 680 5C497280","2013","11","Illinois            ","60601","040","05122",21
" 680 2A953489","2012","06","California          ","92707","719","05106",238
" 680 1B644168","2013","12","Virginia            ","20109","620","05119",115
" 680 2C337973","2013","10","Wyoming             ","82082","612","05121",112
" 680 9574R712","2013","09","Oklahoma            ","74112","713","05122",11
" 680 4128W802","2013","07","New York            ","14224","620","05121",154
" 680 7603R808","2013","10","Alabama             ","36117","665","05121",24
" 680 7021B787","2012","03","Massachusetts       ","01929","712","05219",42
" 680 6383X540","2012","08","California          ","92105","651","05219",315
" 680 9D116879","2013","11","Alabama             ","36830","155","05122",162
" 680 4A310615","2013","07","Georgia             ","30313","718","05119",3
" 680 2A284253","2013","07","Iowa                ","50014","592","05145",20
" 680 4B882975","2013","05","Tennessee           ","37067","641","05121",6
" 680 3779A905","2013","09","Massachusetts       ","01247","592","05121",1
" 680 6D425671","2013","11","Wisconsin           ","54403","416","05119",18
" 680 803W7378","2013","07","North Carolina      ","28001","974","05223",15
" 680 7A640449","2013","11","Texas               ","79925","612","05121",114
" 680 1718M743","2012","05","California          ","92311","093","05219",16
" 680 1625P74A","2012","08","New York            ","12205","090","05219",2376
" 680 0413P222","2012","08","California          ","93241","543","05219",1174
" 680 0D643116","2013","04","New Jersey          ","08805","571","05122",71
" 680 5D402070","2013","08","Virginia            ","23518","719","05224",293
" 680 9B711259","2012","06","Georgia             ","30168","713","05119",54
" 680 5844W503","2012","02","Indiana             ","46516","595","05119",19
" 680 4B005063","2012","02","Maryland            ","21202","620","05121",98
" 680 9A399305","2013","12","New York            ","12180","612","05223",18
" 680 9D381073","2013","12","Illinois            ","60622","620","05121",52
" 680 9078C758","2012","08","California          ","90048","651","05102",234
" 680 1242R839","2012","06","Massachusetts       ","02210","542","05122",50
" 680 3D528064","2013","07","Nevada              ","89703","665","05122",10
" 680 2239R998","2012","07","Washington          ","98032","719","05219",163
" 680 5458M434","2012","08","Illinois            ","60107","620","05223",6
" 680 6B889228","2012","06","Pennsylvania        ","19073","620","05223",5183
" 680 2280X535","2012","02","California          ","92692","712","05219",95
" 680 87K10253","2013","07","Alabama             ","35401","639","05122",284
" 680 857H0016","2013","08","Arizona             ","85901","612","05121",360
" 680 5868P592","2013","12","Virginia            ","22201","169","05145",13
" 680 4D524929","2013","07","Virginia            ","22191","169","05224",1674
" 680 5C542476","2012","08","California          ","95420","612","05119",50
" 680 0D20732A","2013","04","Indiana             ","46324","041","05122",469
" 680 8C239260","2013","01","Massachusetts       ","02129","620","05121",30
" 680 4775N831","2012","08","New Jersey          ","07104","712","05219",1721
" 680 9C029973","2013","01","Ohio                ","45014","600","05119",6861
" 680 3316X313","2012","08","Illinois            ","60181","572","05219",727
" 680 6A676276","2013","11","Colorado            ","80216","612","05121",3578
" 680 2394C494","2012","08","New York            ","10989","712","05219",89
" 680 2903N315","2012","03","New York            ","14718","712","05121",1673
" 680 4657R067","2012","08","California          ","90035","620","05121",350
" 680 6A428914","2013","09","Pennsylvania        ","19428","416","05213",7
" 680 972D2228","2012","02","Virginia            ","20190","691","05219",50
" 680 5D310010","2013","09","New York            ","10466","010","05223",5590
" 680 4415X780","2012","03","Virginia            ","24541","661","05122",24
" 680 9764B799","2012","08","New Jersey          ","07407","755","05121",9
" 680 2080P351","2013","12","Ohio                ","44131","612","05119",1
" 680 6978L386","2012","08","Kansas              ","66606","665","05121",109
" 680 8644X856","2012","08","Virginia            ","22301","091","05219",1377
" 680 7697M140","2012","08","Wisconsin           ","53051","620","05121",900
" 680 3290C84A","2012","08","California          ","96002","651","05119",118
" 680 2875N035","2013","05","South Carolina      ","29205","612","05121",52
" PACP3403N83A","2012","03","Texas               ","76060","712","05233",189
" 680 2461N582","2012","08","Connecticut         ","06511","090","05219",17
" 680 7101X907","2012","04","California          ","91390","612","05223",21
" 680 4A876506","2013","08","Missouri            ","64110","112","05122",85
" 680 1B525444","2012","08","California          ","90250","712","05119",212
" 680 0802N601","2013","12","Massachusetts       ","01752","970","05223",21
" 680 3C237806","2013","09","Colorado            ","81007","169","05122",100
" 680 0D891787","2013","07","Colorado            ","81008","169","05224",4
" 680 6191P017","2012","08","Iowa                ","50401","137","05119",377
" 680 4A693056","2013","07","Virginia            ","23188","676","05223",57
" 680 1383R022","2012","05","Virginia            ","22046","599","05106",56
" 680 1D471428","2013","06","Delaware            ","19707","612","05121",49
" PACP9098P977","2012","05","Texas               ","76306","712","05233",34
" 680 4921X596","2012","02","Connecticut         ","06825","573","05121",35
" 680 7096M334","2013","09","Pennsylvania        ","19152","612","05122",212
" 680 3548R744","2013","08","Connecticut         ","06480","184","05122",154
" 680 927Y8580","2013","07","New York            ","11206","612","05121",888
" 680 4903L528","2013","07","Virginia            ","22206","496","05122",34
" 680 4077N788","2013","07","Connecticut         ","06001","456","05224",4108
" 680 5409P479","2012","08","Massachusetts       ","01201","090","05219",249
" 680 4984L385","2013","07","District of Columbia","20009","620","05121",10
" 680 2C736843","2013","09","Pennsylvania        ","17745","473","05119",1
" 680 7310P52A","2012","03","New Jersey          ","07423","712","05119",25
" 680 189C3537","2013","10","Virginia            ","22027","416","05122",160
" 680 2682X677","2012","08","Illinois            ","60532","600","05121",243
" 680 2C368648","2013","09","Colorado            ","80124","612","05121",13
" 680 2671N930","2012","03","West Virginia       ","25430","712","05219",11
" 680 9B061836","2012","05","Nebraska            ","68107","543","05119",21
" 680 2798P912","2012","08","Illinois            ","60010","620","05121",25
" 680 6228P955","2012","02","New Jersey          ","07310","599","05119",1
" 680 9793C43A","2012","02","California          ","91505","612","05219",15
