"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","hours_worked"
" 680 7C294110","2013","01","Missouri            ","63703","665","05122",26
" 680 8722B577","2012","06","Massachusetts       ","02062","712","05121",83
" 680 5883H433","2012","08","Maryland            ","21842","620","05121",92
" 680 3A262117","2013","07","North Carolina      ","27604","169","05224",12
" 680 1885X286","2013","12","Illinois            ","60073","984","05223",90
" 680 568M0961","2012","01","California          ","95608","592","05119",183
" 680 2D636250","2013","06","Kentucky            ","40215","169","05122",314
" 680 5379M479","2012","08","California          ","94901","612","05121",46
" 680 2C149323","2013","08","Texas               ","75226","520","05122",25
" 680 0675R291","2012","08","New Hampshire       ","03878","090","05102",17
" 680 2275L118","2012","08","Colorado            ","80215","926","05119",200
" 680 5380L298","2012","08","California          ","93003","926","05119",214
" 680 2216P744","2012","08","Virginia            ","22657","718","05106",82
" 680 5C056818","2013","11","North Carolina      ","27127","620","05121",292
" 680 6001P460","2012","08","Massachusetts       ","02453","090","05101",6
" 680 6A540858","2013","10","Michigan            ","48154","913","05125",15
" 680 3B932997","2013","02","Tennessee           ","37406","136","05145",55
" 680 7C667686","2013","03","Kentucky            ","41101","169","05224",352
" 680 8B184709","2012","06","New Jersey          ","07666","712","05122",57
" 680 0D420640","2013","04","Georgia             ","30269","169","05145",19
" 680 7284L767","2012","08","California          ","93711","665","05122",13177
" 680 6C398644","2013","12","North Carolina      ","27103","612","05223",1548
" 680 0C223440","2012","06","New York            ","11212","651","05219",1969
" 680 7703L075","2013","12","Oklahoma            ","73501","134","05223",58
" 680 5193P535","2012","08","Arkansas            ","72143","599","05121",45
" 680 2763W064","2013","10","Maryland            ","21202","612","05145",129
" 680 7D342710","2013","10","District of Columbia","20002","169","05122",250
" 680 310M4636","2013","10","Virginia            ","22182","169","05119",72
" 680 7947H268","2012","01","Colorado            ","80919","651","05219",10
" 680 368H6583","2013","08","Alabama             ","35205","620","05121",218
" 680 4341R927","2012","08","Illinois            ","60031","600","05223",50
" 680 7D583019","2013","10","Pennsylvania        ","18914","620","05121",847
" 680 3969X416","2012","08","New York            ","14621","712","05219",26
" 680 6078L292","2012","07","California          ","90275","612","05121",119
" 680 4725L129","2013","06","Utah                ","84065","620","05121",40
" 680 0D49607A","2012","08","California          ","95050","712","05219",35
" 680 145N6931","2012","07","New York            ","11561","651","05102",275
" 680 9919C134","2012","08","Pennsylvania        ","15613","691","05219",25
" 680 5A516363","2013","08","Oklahoma            ","73730","169","05121",89
" 680 5007B306","2013","10","Georgia             ","30721","100","05223",21
" 680 0C481650","2013","06","Connecticut         ","06062","620","05121",87
" 680 5281B909","2013","12","Colorado            ","80218","612","05121",1
" 680 3820M131","2012","05","New York            ","10035","651","05102",1126
" 680 5D081337","2013","08","Texas               ","75227","169","05122",32
" 680 0656P791","2013","10","Missouri            ","64772","972","05145",631
" 680 5350N550","2013","05","North Carolina      ","28031","169","05122",6354
" 680 0C508691","2012","08","Massachusetts       ","02740","749","05119",2
" 680 4B132654","2012","03","California          ","91340","651","05219",7231
" PACP408D7983","2012","02","Texas               ","76543","049","05106",32
" 680 8A432505","2012","08","Arizona             ","85017","712","05122",51
" 680 4012C479","2013","06","New York            ","10705","599","05223",21936
" 680 4B166854","2012","02","Georgia             ","30032","543","05119",62
" 680 8382R507","2013","09","New Jersey          ","08889","620","05223",2821
" 680 7A72648A","2012","01","Michigan            ","49007","665","05122",12
" 680 3928M27A","2012","06","Massachusetts       ","02379","749","05119",25
" 680 4120X037","2012","01","Missouri            ","63074","712","05219",279
" 680 2709X485","2012","08","Washington          ","98816","620","05223",484
" 680 4B417900","2012","02","Massachusetts       ","02301","712","05122",30
" 680 7125X917","2012","05","Iowa                ","50602","712","05214",13
" 680 6D737887","2012","08","Colorado            ","80231","994","05119",246
" 680 5D033235","2013","07","Washington          ","98199","010","05119",75
" PACP835W4372","2012","07","Texas               ","77379","050","05132",79
" 680 6A763612","2013","09","Ohio                ","43017","471","05122",67
" 680 8D469884","2013","11","Colorado            ","80602","100","05122",53
" PACP1951L895","2012","06","Texas               ","75235","926","05233",3
" 680 6827W02A","2013","05","South Carolina      ","29617","620","05223",188
" PACP572D8230","2012","05","Texas               ","76301","651","05233",656
" 680 5361H679","2013","08","Maryland            ","21221","960","05122",367
" 680 5C134106","2013","12","Colorado            ","80720","718","05121",341
" 680 8623B919","2013","04","Nevada              ","89128","665","05121",5
" 680 0083P462","2013","11","Michigan            ","48603","620","05121",297
" 680 1A833980","2012","08","Wisconsin           ","54942","994","05119",89
" 680 8E67951A","2012","08","California          ","94547","926","05119",449
" PACP2616X51A","2012","01","Texas               ","78704","712","05233",46
" 680 516M711A","2013","11","New Jersey          ","08108","612","05121",133
" 680 8241C452","2013","11","Montana             ","59102","620","05121",20
" 680 5994A810","2013","08","North Carolina      ","28001","676","05121",15
" 680 436P5296","2013","04","North Carolina      ","28732","612","05121",28
" 680 6415L215","2013","10","Washington          ","99027","169","05224",243
" 680 675H0136","2013","04","Ohio                ","45415","169","05122",17
" 680 8478A81A","2012","08","Montana             ","59405","712","05219",19
" 680 9315L720","2012","08","Alabama             ","35045","712","05121",244
" 680 2B083334","2012","03","Alabama             ","35763","090","05119",182
" 680 4830C974","2013","07","Missouri            ","65605","562","05121",20
" 680 6204M689","2012","08","Virginia            ","22407","599","05102",102
" 680 9748C41A","2012","03","Louisiana           ","71301","651","05219",3229
" 680 9C380136","2013","05","Kentucky            ","40220","612","05121",62
" 680 9518M069","2013","01","Tennessee           ","37681","100","05122",8
" 680 9077B914","2013","08","North Carolina      ","27360","569","05122",7
" 680 3D920295","2013","07","Oklahoma            ","73942","913","05125",103
" 680 2B517687","2012","08","California          ","94107","712","05219",214
" 680 5152B964","2012","08","California          ","95376","091","05202",24
" 680 7A99648A","2013","11","Michigan            ","48084","620","05121",58
" 680 7256C652","2013","08","Texas               ","75212","569","05122",62
" 680 7C874349","2013","01","Illinois            ","60615","102","05122",605
" 680 1B368563","2013","12","Iowa                ","52556","620","05223",30
" 680 2933R022","2012","06","New York            ","10595","092","05106",21
" 680 9A635030","2012","01","Tennessee           ","37184","755","05119",30
" 680 0D311693","2013","03","Idaho               ","83713","169","05121",170
" 680 1C702160","2013","08","Alabama             ","35903","100","05122",72
" 680 2909C899","2013","07","Texas               ","78217","665","05122",13
" 680 3875C748","2013","03","Illinois            ","60030","676","05121",527
" 680 6349R134","2013","08","Tennessee           ","37212","620","05223",2819
" 680 6276L211","2013","09","North Carolina      ","28635","518","05121",65
" 680 8D991535","2013","11","Indiana             ","47408","169","05122",28
" 680 6B84308A","2013","03","Colorado            ","80206","169","05122",47
" 680 6411C843","2013","07","New York            ","11101","612","05223",5562
" 680 7D678310","2013","10","Wisconsin           ","53403","010","05223",299
" 680 8818A936","2013","11","Michigan            ","49201","620","05121",34
" 680 0399C795","2013","08","New York            ","10459","612","05223",6225
" 680 8913M637","2012","02","Illinois            ","61610","525","05219",26
" 680 9A326269","2012","08","Mississippi         ","39060","926","05119",38
" 680 2758N84A","2012","04","California          ","95603","712","05219",10
" 680 1A866347","2013","06","Massachusetts       ","02494","945","05223",12
" 680 3115M811","2012","07","New Jersey          ","07306","542","05119",25
" 680 2B182336","2013","12","Connecticut         ","06070","100","05219",21
" 680 7C383561","2013","04","New York            ","10535","665","05223",1668
" 680 5802P136","2013","02","Arizona             ","86326","100","05122",76
" PACP1A441394","2012","08","Texas               ","76067","712","05121",474
" 680 9B070593","2013","06","Massachusetts       ","02149","612","05121",339
" 680 5A211727","2012","08","Massachusetts       ","01862","968","05223",37
" PACP8F885152","2012","08","Texas               ","75244","926","05132",139
" 680 1D865208","2013","06","District of Columbia","20011","010","05121",184
" 680 9A427498","2012","01","Vermont             ","05060","091","05106",1
" 680 4136A53A","2013","11","Louisiana           ","71291","553","05121",19
" 680 3413X592","2012","02","Kentucky            ","40241","600","05121",807
" 680 2A755621","2013","06","Texas               ","75702","543","05223",7513
" 680 6492X375","2012","03","California          ","95301","712","05122",38
" 680 492P3919","2013","10","Georgia             ","30281","612","05121",12
" 680 0168P722","2013","10","Texas               ","78705","169","05121",49
" 680 8373C830","2013","11","New York            ","12010","043","05121",82
" 680 4C049910","2013","10","Massachusetts       ","01757","676","05223",5
" 680 8509P994","2012","04","Tennessee           ","37013","712","05122",50
" 680 2A904237","2012","06","California          ","92553","599","05102",118
" 680 0C558910","2013","06","North Carolina      ","27603","595","05122",28
" 680 3761R358","2013","06","Arizona             ","85026","620","05121",823
" 680 9764R360","2013","09","Colorado            ","80011","620","05223",17
" 680 3552R500","2012","08","New Jersey          ","08879","712","05219",35
" 680 7B665520","2013","10","Illinois            ","60616","620","05121",75
" 680 7A535902","2012","08","California          ","94544","712","05219",439
" 680 5023R369","2012","08","California          ","94109","620","05223",1150
" 680 360H9633","2012","08","New Jersey          ","08103","042","05201",827
" 680 2A973624","2013","06","Wisconsin           ","53206","416","05121",5
" 680 2342X197","2012","02","Indiana             ","46410","719","05106",86
" 680 6256C076","2012","08","Florida             ","32817","612","05119",1542
" 680 309H9708","2013","07","New York            ","14526","665","05122",16
" PACP4B335795","2012","02","Texas               ","78723","651","05233",28
" 680 1521L545","2012","08","California          ","92504","651","05119",5
" 680 2031M076","2013","06","Massachusetts       ","01028","940","05223",712
" 680 7009B878","2013","03","Michigan            ","48184","620","05121",93
" 680 7551X482","2012","04","New York            ","10506","612","05219",503
" 680 6232C030","2013","06","Texas               ","77042","665","05122",48254
" 680 9A547134","2012","01","Maryland            ","21230","599","05121",9
" 680 6479L211","2013","09","Colorado            ","80012","169","05224",35
" 680 3442R22A","2012","06","New Hampshire       ","03102","091","05219",517
" 680 9C414980","2013","03","Ohio                ","44839","100","05223",2
" PACP3994X450","2012","08","Texas               ","77064","030","05132",124
" 680 1B48177A","2012","08","Michigan            ","48150","926","05219",14569
" PACP1938N735","2012","02","Texas               ","75006","562","05122",612
" 680 9063P406","2013","05","Illinois            ","60475","665","05121",16
" 680 4123R045","2012","08","Indiana             ","46580","651","05219",161
" 680 6885M896","2012","08","New Jersey          ","07924","599","05121",70
" 680 6885M896","2012","08","New Jersey          ","07924","599","05119",25
" 680 2046W721","2013","07","Pennsylvania        ","15108","665","05121",28
" 680 6867X626","2013","03","Wisconsin           ","53216","101","05122",54
" 680 0896R837","2013","04","North Carolina      ","27610","600","05121",1500
" 680 2A665603","2013","06","Tennessee           ","37341","169","05131",5
" 680 6A532312","2012","08","New York            ","10010","416","05119",20
" 680 2927R328","2013","08","Pennsylvania        ","19023","010","05121",20781
" 680 6516L561","2012","08","Georgia             ","31211","599","05102",339
" 680 2C833563","2013","09","Wisconsin           ","54615","010","05121",1138
" 680 93K3263A","2012","08","New York            ","10306","651","05219",94
" 680 7A342366","2012","08","Virginia            ","20121","620","05219",12
" 680 1037X617","2013","11","Colorado            ","80229","612","05121",88
" 680 8572N601","2013","08","New York            ","10003","638","05224",21
" 680 3773A673","2013","08","New York            ","11520","505","05223",4189
" 680 1B838645","2013","11","Texas               ","78501","111","05122",26
" 680 4351L625","2012","06","New York            ","12203","599","05119",18
" 680 4A225445","2013","09","Georgia             ","30076","612","05121",1067
" 680 6983M700","2012","08","California          ","90807","612","05121",52
" 680 2853X735","2013","02","Arizona             ","86305","600","05224",6093
" 680 4C518706","2013","11","Virginia            ","20151","416","05122",720
" 680 6537P924","2012","02","California          ","93030","712","05122",932
" 680 0360P955","2012","08","Montana             ","59102","926","05102",260
" 680 7916C855","2013","10","New Jersey          ","07030","620","05121",68
" 680 6297P807","2012","01","North Carolina      ","28052","553","05119",30
" 680 8B416408","2012","05","New York            ","10463","091","05119",71
" 680 5360H695","2012","08","Connecticut         ","06604","651","05219",2793
" 680 4D388165","2013","07","Arizona             ","85635","010","05223",99
" 680 758W9163","2012","05","New Jersey          ","08812","712","05119",25
" 680 0885P354","2012","08","California          ","93036","651","05102",43
" 680 8012C711","2013","10","North Carolina      ","28306","010","05121",92
" 680 9026M665","2013","11","Ohio                ","45236","164","05224",13
" 680 3736P422","2012","08","Maine               ","04351","090","05202",7
" 680 8204L98A","2013","12","Oklahoma            ","74017","100","05219",11
" 680 6750N543","2012","06","Montana             ","59101","651","05101",19
" 680 5266B285","2012","08","Massachusetts       ","01835","712","05219",158
" PACP4105N362","2012","04","Texas               ","78758","040","05233",36
" 680 8830M358","2013","01","South Carolina      ","29360","100","05121",81
" 680 8692M836","2013","11","North Carolina      ","27023","620","05121",79
" 680 8727H301","2012","03","Illinois            ","60137","612","05121",25
" 680 9098L886","2012","08","New York            ","14612","651","05219",4542
" 680 2869R081","2012","06","Mississippi         ","38655","712","05219",17
" 680 23E03985","2012","05","Nebraska            ","68130","651","05101",698
" 680 2D375881","2013","05","Missouri            ","64114","123","05256",100
" 680 7A578975","2013","12","Pennsylvania        ","15120","010","05121",29
" 680 3719R710","2012","08","New York            ","12205","090","05202",2234
" 680 7156H121","2012","08","New Jersey          ","08837","599","05119",25
" 680 2B193234","2013","12","Michigan            ","48393","913","05122",25
" 680 919D6445","2012","02","New York            ","10025","092","05102",104
" 680 4B401858","2012","03","New Jersey          ","07016","712","05121",10
" 680 1D985986","2013","05","New York            ","11237","169","05224",853
" 680 277M1607","2012","02","New Jersey          ","07601","620","05121",95
" 680 5360M800","2013","10","Pennsylvania        ","15057","100","05219",348
" 680 4177R521","2013","07","Georgia             ","30022","620","05121",695
" 680 9724N278","2013","04","Ohio                ","45242","676","05121",452
" 680 7297M224","2013","10","Alabama             ","35976","676","05223",893
" 680 9209H612","2013","04","South Carolina      ","29081","612","05121",44
" 680 5972M029","2013","08","Massachusetts       ","02111","169","05122",102
" 680 4B803000","2013","04","Indiana             ","46158","620","05121",72
" 680 8299P403","2012","08","Illinois            ","60477","926","05202",50
" 680 8926L232","2012","08","Utah                ","84109","926","05102",111
" 680 9C829104","2012","08","Georgia             ","30080","926","05119",187
" 680 6473C22A","2012","06","New Jersey          ","07731","572","05119",195
